id,level,ppt,coin
1,1,10,0
2,2,20,100
3,3,30,200
4,4,40,300
5,5,50,400
6,6,60,500
7,7,70,600
8,8,80,700
9,9,90,800
10,10,100,900
11,11,110,1000
12,12,120,1100
13,13,130,1200
14,14,140,1300
15,15,150,1400
16,16,160,1500
17,17,170,1600
18,18,180,1700
19,19,190,1800
20,20,200,1900
21,21,210,2000
22,22,220,2100
23,23,230,2200
24,24,240,2300
25,25,250,2400
26,26,260,2500
27,27,270,2600
28,28,280,2700
29,29,290,2800
30,30,300,2900
31,31,310,3000
32,32,320,3100
33,33,330,3200
34,34,340,3300
35,35,350,3400
36,36,360,3500
37,37,370,3600
38,38,380,3700
39,39,390,3800
40,40,400,3900
41,41,410,4000
42,42,420,4100
43,43,430,4200
44,44,440,4300
45,45,450,4400
46,46,460,4500
47,47,470,4600
48,48,480,4700
49,49,490,4800
50,50,500,4900
